model,magnitude_cm,force_N,fired,success
OFT,8,0.1315,1,1
OFT,8,0.1315,1,1
OFT,8,0.1315,1,1
OFT,8,0.1315,1,0
OFT,8,0.1315,1,0
OFT,8,0.1315,1,1
OFT,8,0.1315,1,1
OFT,8,0.1315,1,0
OFT,8,0.1315,1,1
OFT,8,0.1315,1,0
OFT,8,0.1315,1,1
OFT,8,0.1315,1,0
OFT,8,0.1315,1,1
OFT,8,0.1315,1,1
OFT,8,0.1315,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,0
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,1,0.1127,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
